,Code,Description
167,10184,"Allakaket, AK: Allakaket Airport"
168,10185,"Alexandria, LA: Alexandria International"
169,10186,"Akureyri, Iceland: Akureyri Airport"
170,10188,"San Rafael, Argentina: San Rafael Airport"
171,10189,"Colorado Springs, CO: USAF Academy Airfield"
172,10190,"Nebraska, NE: Nebraska City Municipal"
173,10191,"Afton, WY: Afton Municipal"
174,10192,"Wadesboro, NC: Anson County Jeff Cloud Field"
175,10194,"Dallas/Fort Worth, TX: Fort Worth Alliance"
176,10195,"Afyon, Turkey: Afyon Airport"
177,10196,"Agadir, Morocco: Inezgane"
178,10197,"Augsburg, Germany: Augsburg Airport"
179,10198,"Pittsburgh, PA: Allegheny County"
180,10199,"Agen, France: Agen La Garenne"
181,10200,"Angoram, Papua New Guinea: Angoram Airport"
182,10201,"Angelholm/Helsingborg, Sweden: Angelholm"
183,10202,"Kagua, Papua New Guinea: Kagua Airport"
184,10203,"Wanigela, Papua New Guinea: Wanigela Airport"
185,10204,"Angoon, AK: Angoon Seaplane Base"
186,10205,"Malaga, Spain: Malaga Costa del Sol"
187,10206,"Agrinion, Greece: Agrinion Airport"
188,10207,"Agra, India: Agra Airport"
189,10208,"Augusta, GA: Augusta Regional at Bush Field"
190,10209,"Ciudad del Este, Paraguay: Guarani International"
191,10210,"Aguascalientes, Mexico: Jesus Teran International"
192,10211,"Acarigua, Venezuela: Oswaldo Guevara Mujica"
193,10212,"Agatti Island, India: Agatti Island Airport"
194,10213,"Okinawa, Japan: Naha AB"
195,10214,"Abha, Saudi Arabia: Abha Airport"
196,10215,"Ardmore, OK: Ardmore Downtown Executive"
197,10216,"Athens, GA: Athens/Ben Epps"
198,10217,"Alghero/Sassari, Italy: Alghero Fertilia"
199,10218,"Ahuas, Honduras: Auas"
200,10219,"Amchitka Island, AK: Amchitka"
201,10220,"Al Hoceima, Morocco: Cherif El Idrissi International"
202,10221,"Alliance, NE: Alliance Municipal"
203,10222,"Anita Bay, AK: Anita Bay Airport"
